cellid,block,locus,tau,dcfpar,ks,nL,J_bar,s2a_P,s2j_P,s2a_LP,s2j_LP,mupi_ind,s2pi_ind,s2piLP_ind,eps2_soft,lambda_soft,rho2_cf_soft,rho2_mc_soft,rho_rep_soft,rho2pi_soft,rho2_mcse_soft
24,A_dcf,1,.15,3,.13,12,.5413482245997319,.0002977777731971,.0013828017140525,2.38246108696e-33,4.28746009170e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026220569256151,.6851195886236714,.7783919193226475,.7554427943742376,.765891974343361,.5481268236093626,.001778583559513
25,A_dcf,1,.15,3,.13,16,.54127972496837,.0003008124936242,.0013824773660051,2.36841352142e-33,4.29381385182e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026109279874249,.6829943865204224,.824939399752933,.806074535931347,.8081551276965122,.5870085497409284,.0015023238941486
26,A_dcf,1,.3,1,.13,2,.5396631946802305,-3.01449904339e-34,.0042158075926184,7.23479770413e-33,4.17227568132e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026068265423955,.9290203986962524,.300999032767844,.2716217670970907,.3036116391996779,.2709078621449668,.0073379117376442
27,A_dcf,1,.3,1,.13,4,.5398781571211828,-3.01449904339e-34,.0042495022189636,7.23479770413e-33,4.18320022585e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026000072327564,.9285465272920681,.4634909769653621,.4268121530438585,.4658600640275267,.4393148291460994,.0049215015548987
28,A_dcf,1,.3,1,.13,8,.5398825030267971,-3.01449904339e-34,.004216130928041,7.23479770413e-33,4.15413804347e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026032719444827,.9290689098544063,.6330599476391958,.6097908569667948,.622509352835744,.584340644661703,.0031543821702547
29,A_dcf,1,.3,1,.13,12,.539880357430189,-3.01449904339e-34,.004216777694199,7.23479770413e-33,4.16735441115e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026105092835646,.9290582768725629,.7208557785363945,.7038739939139824,.7255163056008881,.6762257240427851,.002392452189274
30,A_dcf,1,.3,1,.13,16,.5392400823335158,-3.01449904339e-34,.0042513021277525,7.23479770413e-33,4.15914371962e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026170446019048,.928361285758515,.7744082630903393,.7595386270665526,.7753269932450799,.7222331046536018,.0020312985186823
31,A_dcf,1,.3,2,.13,2,.5392155720170357,.0012294645421702,.0012294645421702,2.38425471389e-33,4.22574887501e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026361942639259,.3531933898728863,.5292284029611369,.4772568360556076,.4866358818390513,.200589153464635,.0049477832082975
32,A_dcf,1,.3,2,.13,4,.5392905661420393,.0012402507505768,.0012402507505768,2.37309453601e-33,4.22368776154e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026337955538917,.3512638836393102,.6935096871048764,.6514002771458304,.664710516737981,.2650023967649336,.0029117371146507
33,A_dcf,1,.3,2,.13,8,.5393206378802177,.001236607062251,.001236607062251,2.37754745352e-33,4.22293534257e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026371748952149,.3519600709574481,.8185935891884903,.7901310097032156,.7995439586957703,.3294207122861058,.001539656384256
34,A_dcf,1,.3,2,.13,12,.5393992539868233,.0012466866347123,.0012466866347123,2.37291266124e-33,4.24489697294e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026286126913075,.3501770600464723,.8721508823360085,.8494722578040063,.8558773462149014,.3603108223804734,.0010973703864625
35,A_dcf,1,.3,2,.13,16,.5390874442523658,.0012371955732284,.0012371955732284,2.36638124664e-33,4.21120532390e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026387311786908,.3516543278989712,.9002263647785779,.8814890671390047,.8885028139508682,.3606825355788781,.0008539143488024
36,A_dcf,1,.3,3,.13,2,.5358274318478904,.0012407018351159,.0054711623930548,2.37397979390e-33,4.14372154251e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026265072521052,.3390677575361996,.5368372992383152,.4808243400860594,.5044013420459948,.1880048289092904,.0048245207356158
37,A_dcf,1,.3,3,.13,4,.5360708108537876,.0012411594223339,.0054537731801097,2.39220846961e-33,4.14222474325e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026175794659531,.339229677247414,.6992269451235489,.6547745576955963,.6630930347156203,.2524775794340459,.002606016892606
38,A_dcf,1,.3,3,.13,8,.5357675700959721,.0012281723745905,.0054361198408379,2.36332755911e-33,4.14977947979e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026353532193697,.3412525739625401,.8212377684973449,.7924732347116823,.8004241240021823,.3031983314232027,.0016184211004635
39,A_dcf,1,.3,3,.13,12,.5358454539827303,.0012432936407362,.0055155202615302,2.38566248494e-33,4.12103402078e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026346291656399,.33854593543656,.8741936632536894,.8488922678993391,.8571170917673845,.326450453632726,.0011413373656952
40,A_dcf,1,.3,3,.13,16,.5363127381092985,.0012257211308971,.0054662823887882,2.36093806620e-33,4.14434293125e-32,.0999999997348261,.0023375160728379,.002696239345115,.0026251548354014,.3420714371540556,.902034576505335,.8850340601081604,.8887531513586455,.3357394792457837,.0008145973180425
41,A_dcf,1,.6,1,.13,2,.530700952622823,-3.01449904339e-34,.0159606247960063,7.23479770413e-33,3.90213283167e-32,.0999999997348261,.0023375160728379,.002696239345115,.0025996756502708,.7697608811967406,.3345691730285203,.2961189736471972,.325167733451796,.248901834924447,.0073262476855857
